Date,Day,Event,Location,Address,County,City,Region,LAT,LON
9/25/2021,Saturday,Great Adirondack Moose Festival “Big Moose Tent”,Indian Lake Central School District,"6345 NY-30, Indian Lake, NY",Hamilton,Indian Lake,North Country,43.7828427,-74.272481
9/25/2021,Saturday,Climate Smart Communities Announcement Event,Glens Falls City Hall,"42 Ridge Street, Glens Falls, NY",Warren,Glens Falls,Capital Region,43.310872,-73.6441372
9/25/2021,Saturday,Global Citizen Live Festival,"Great Lawn, Central Park","85th St., New York, NY",New York,New York,New York City,40.7659072,-73.8844095
9/25/2021,Saturday,The Governor’s Ball 10th Anniversary,Citi Field,"41 Seaver Way, Queens, NY",Queens,Queens,New York City,40.7572778,-73.8458788
9/26/2021,Sunday,Church Services,Christian Cultural Center,"12020 Flatlands Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6513743,-73.8892862
9/27/2021,Monday,Community COVID-19 Booster Launch,Bay Eden Senior Center,"1220 East 229th Street, Bronx, NY",Bronx,Bronx,New York City,40.8845989,-73.8431286
9/27/2021,Monday,Ida Relief Application Announcement,Queens Museum/New York City Building/Flushing Meadows Corona Park ,"Queens, NY",Queens,Queens,New York City,40.7135078,-73.8283132
9/28/2021,Tuesday,Annual Police Officers’ Memorial Remembrance Ceremony,Empire State Plaza ,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
9/29/2021,Wednesday,New York League of Conservation Voters 2021 Gala,Pier 60,"Pier 60, 60 Chelsea Piers, New York, NY 10011",New York,New York,New York City,40.740916,-73.999769
9/30/2021,Thursday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/2/2021,Saturday,Seneca Falls Women’s March and Rally for Reproductive Rights,Women’s Rights National Historic Park ,"136 Falls Street, Seneca Falls, NY",Seneca,Seneca Falls,Finger Lakes,42.91106347,-76.80012367
10/2/2021,Saturday,Albany Women’s Rally for Reproductive Rights Remarks,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
10/2/2021,Saturday,Franklin D. Roosevelt Presidential Library Tour,Franklin D. Roosevelt Presidential Library,"4079 Albany Post Road, Hyde Park, NY 12538",Dutchess,Hyde Park,Mid-Hudson,41.7692781,-73.9339335
10/2/2021,Saturday,The Culinary Institute of America Tour,The Culinary Institute of America,"1946 Campus Drive, Hyde Park, NY 12538",Dutchess,Hyde Park,Mid-Hudson,41.7460374,-73.9331299
10/4/2021,Monday,SNAP Bill Signing Event with Senator Persaud,Brownsville Recreation Center,"1555 Linden Boulevard, Brooklyn, NY",Kings,Brooklyn,New York City,40.6562732,-73.9027189
10/5/2021,Tuesday,Fallen Firefighters Memorial Remarks,Empire State Plaza Convention Center,"279 Madison Ave, Albany, NY 12242",Albany,Albany,Capital Region,42.648995,-73.7614185
10/5/2021,Tuesday,COVID-19 Briefing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
10/6/2021,Wednesday,Hate Crimes Announcement,Museum of Jewish Heritage ,"36 Battery Place, New York, NY",New York,New York,New York City,40.7061186,-74.0182811
10/6/2021,Wednesday,RPA Centennial Celebration for PANYNJ Remarks,Cipriani,"110 E 42nd Street, New York, NY 10004",New York,New York,New York City,40.7514708,-73.9772364
10/7/2021,Thursday,Heroin/Opioid Bill Signing Event,John Jay College of Criminal Justice,"524 W 59th Street, New York, NY",New York,New York,New York City,40.7710723,-73.9888429
10/7/2021,Thursday,Association for Neighborhood and Housing Development Remarks ,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/9/2021,Saturday,Olana State Historic Site Tour,Olana State Historic Site,"5720 NY-9G, Hudson, NY 12534",Columbia,Hudson,Capital Region,42.2533083,-73.7907826
10/11/2021,Monday,77th Annual Columbus Day Parade,,"46th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
10/11/2021,Monday,South Asians of New York Annual Diwali Extravaganza,World’s Fair Marina Restaurant,"1 Marina Road, Corona, NY",Queens,Queens,New York City,40.7594264,-73.8481756
10/13/2021,Wednesday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/13/2021,Wednesday,NYS Legislative Women’s Caucus Retreat Remarks,The Wick Hudson,"41 Cross Street, Hudson, NY",Columbia,Hudson,Capital Region,42.2530579,-73.7960366
10/13/2021,Wednesday,Equality New York’s 5th Anniversary Celebration Remarks,Industry Bar,"355 W 52nd Street, New York, NY",New York,New York,New York City,40.7643224,-73.9873646
10/13/2021,Wednesday,Lt. Detective Joseph Petrosino Association in America Awards Dinner Remarks,Russo’s on the Bay,"162-45 Crossbay Boulevard, Howard Beach, NY",Queens,Queens,New York City,40.6631688,-73.8407477
10/14/2021,Thursday,NY Building Congress Construction Industry Forum,New York Hilton Midtown,"1335 6th Avenue, New York, NY",New York,New York,New York City,40.762461,-73.979713
10/18/2021,Monday,Buffalo Bills Game Watch Party with Lieutenant Governor Brian Benjamin,Kelly’s Sports Bar,"12 Avenue A, New York, NY",New York,New York,New York City,40.7225109,-73.9858878
10/19/2021,Tuesday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/20/2021,Wednesday,Plug Power Stamp Groundbreaking Announcement,,"6840 Crosby Road, Alabama, NY",Genesee,Alabama,Finger Lakes,43.0821525,-78.4041415
10/20/2021,Wednesday,Mercy Hospital Picket Line Visit,,"565 Abbott Road, Buffalo, NY",Erie,Buffalo,Western New York,42.8482006,-78.812922
10/20/2021,Wednesday,Catholic Health and CWA Negotiating Group,Gateway Building,"3556 Lake Shore Road, Buffalo, NY",Erie,Buffalo,Western New York,42.7924829,-78.8488345
10/20/2021,Wednesday,Hamburg Town Hall Tour,Hamburg Town Hall,"6100 South Park Avenue, Hamburg, NY",Erie,Hamburg,Western New York,42.7291484,-78.8244077
10/21/2021,Thursday,New York State Tourism Industry Association Awards ,Chautauqua Harbor Hotel ,"10 Dunham Avenue, Celoron, New York",Chautauqua,Celoron,Western New York,42.110207,-79.2851766
10/21/2021,Thursday,Alfred E. Smith Memorial Foundation Dinner,Javits Center Expansion Site,"429 11th Avenue, New York, NY",New York,New York,New York City,40.7583595,-74.0021206
10/22/2021,Friday,Build Back Better Event with Vice President Kamala Harris ,Northeast Bronx YMCA,"1250 E 229th Street, Bronx, NY",Bronx,Bronx,New York City,40.8824903,-73.8432057
10/22/2021,Friday,Remarks at Six Performance,Brooks Atkinson Theater,"256 W 47th Street, New York, NY",New York,New York,New York City,40.7599753,-73.9869664
10/22/2021,Friday,Remarks at Chicago Performance,Shubert Theater,"218 W 49th St, New York, NY",New York,New York,New York City,40.7608752,-73.984929
10/25/2021,Monday,New York State PEF AFL-CIO 43rd Annual Convention,Conference and Event Center,"101 Old Falls Street, Niagara Falls, NY",Niagara,Niagara Falls,Western New York,43.0857173,-79.0603156
10/25/2021,Monday,Binghamton University Health Sciences Center Ribbon Cutting Ceremony,Decker College of Nursing and Health Sciences ,"48 Corliss Avenue Johnson City, NY",Broome,Johnson City,Southern Tier,42.1125884,-75.9543616
10/27/2021,Wednesday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
10/28/2021,Thursday,General Contractors Association of New York Annual Luncheon Remarks,Club 101 ,"101 Park Avenue, New York, NY",New York,New York,New York City,40.7508308,-73.9776118
10/28/2021,Thursday,Gun Safety Bill Signing Event,Yes We Can Center,"141 Garden Street, Westbury, NY",Nassau,Westbury,Long Island,40.7587351,-73.5675519
10/28/2021,Thursday,UJA Federation of New York Campaign Launch Event,UJA Headquarters,"130 E 59th Street, New York, NY",New York,New York,New York City,40.7622906,-73.9685702
10/28/2021,Thursday,Asian American Bar Association Founders Day Reception,Broadridge,"605 3rd Avenue, New York, NY",New York,New York,New York City,40.7489027,-73.9754015
10/29/2021,Friday,“Sleep Act” Bill Signing Event ,IL Centro,"8711 18th Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.605121,-74.004749
10/29/2021,Friday,Corning Inc. Valor Glass Innovation Center Announcement,Corning Innovation Support Center,"271 County Road, 64 Big Flats, NY",Chenango,Big Flats,Southern Tier,42.159304,-76.861367
10/29/2021,Friday,Corning R&D Facility Tour,Corning Inc. Sullivan Park Campus,"21 Lynn Morse Road Painted Post, NY",Steuben,Painted Post,Southern Tier,42.16096662,-77.11730125
10/29/2021,Friday,Finger Lakes Beer Festival,Watkins Glen International,"2790 County Route 16, Watkins Glen, NY",Schuyler,Watkins Glen,Southern Tier,42.345618,-76.9223829
10/29/2021,Friday,Cast Early Vote,Cheektowaga Senior Center,"3349 Broadway, Cheektowaga, NY",Erie,Cheektowaga,Western New York,42.9027636,-78.7511847
10/30/2021,Saturday,Diwali at Times Square 2021,Times Square,"Times Square, New York, NY",New York,New York,New York City,40.7572614,-73.9858998
10/31/2021,Sunday,East Side Access Announcement,Grand Central Terminal,"89 E 42nd St, New York, NY 10017",New York,New York,New York City,40.7526943,-73.977253
11/1/2021,Monday,Paid Family Leave Bill Signing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/1/2021,Monday,National Action Network 30th Anniversary Celebration,Carnegie Hall,"57th Street and 7th Avenue, New York, NY",New York,New York,New York City,40.802533,-73.953026
11/2/2021,Tuesday,COVID-19 Briefing and Vaccination Announcement with the Brooklyn Nets and the New York Liberty,Barclays Center,"620 Atlantic Avenue Brooklyn, NY",Kings,Brooklyn,New York City,40.6825106,-73.9752519
11/3/2021,Wednesday,Ronkonkoma Hub Groundbreaking Announcement ,,"12 Union Avenue, Ronkonkoma, NY",Suffolk,Ronkonkoma,Long Island,40.8112468,-73.100417
11/3/2021,Wednesday,Penn Station Redevelopment Announcement,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/8/2021,Monday,Tourism Promotion Announcement ,American Museum of Natural History,"200 Central Park West, New York, NY",New York,New York,New York City,40.7813974,-73.9733215
11/8/2021,Monday,Bob Woodruff Foundation 15th Annual Stand Up for Heroes,Alice Tully Hall,"1941 Broadway W 65th Street, New York, NY",New York,New York,New York City,40.857977,-73.930904
11/8/2021,Monday,American Friends of Rabin Medical Center Gala,The Plaza Hotel,"5th Avenue at Central Park South, New York, NY",New York,New York,New York City,40.778168,-73.974531
11/8/2021,Monday,2021 New York Public Library Lions Gala,Stephen A. Schwarzman Building,"5th Avenue and 42nd Street, New York, NY",New York,New York,New York City,40.752416,-73.97837
11/9/2021,Tuesday,Women’s Veterans Day Tribute,Central Park,"69th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
11/9/2021,Tuesday,COVID-19 Briefing and Vaccination Announcement,Mount Vernon Neighborhood Health Center ,"107 4th Street, Mount Vernon, NY",Westchester,Mount Vernon,Mid-Hudson,40.725925,-73.988793
11/10/2021,Wednesday,Downtown Revitalization Initiative Chinatown Announcement ,Chinese Consolidated Benevolent Association,"62 Mott Street, New York, NY",New York,New York,New York City,40.7160122,-73.9981268
11/11/2021,Thursday,Veterans Protection and Support Bill Signing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/11/2021,Thursday,NYC 2021 Veterans Day Parade,Madison Square Park,"24th Street and 5th Avenue, New York, NY",New York,New York,New York City,40.762966,-73.973968
11/12/2021,Friday,Annual Awards Dinner  ,Paradise Catering Hall,"51 Avenue U, West 11th and East 12th Streets, Brooklyn, NY",Kings,Brooklyn,New York City,40.723474,-73.959708
11/13/2021,Saturday,Downtown Troy Revitalization Initiative Announcement,Franklin Plaza,"4 4th St, Troy, NY 12180",Rensselaer,Troy,Capital Region,42.7334936,-73.6882103
11/14/2021,Sunday,Church Service Remarks,St. Paul Community Baptist Church,"859 Hendrix Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.6601062,-73.8838466
11/14/2021,Sunday,Church Service,The Greater Allen A.M.E. Cathedral of New York,"110-31 Merrick Boulevard, Queens, NY",Queens,Queens,New York City,40.6950188,-73.781392
11/14/2021,Sunday,Church Service,New Jerusalem Worship Center,"12205 Smith Street, Jamaica, NY",Queens,Queens,New York City,40.68363,-73.779335
11/15/2021,Monday,Pre-Departure Transit Announcement Press Conference,Albany International Airport,"737 Albany Shaker Road, Colonie, NY",Albany,Colonie,Capital Region,42.7453738,-73.8090005
11/15/2021,Monday,Tenant Legal Services Photo Opportunity,Executive Mansion,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
11/16/2021,Tuesday,LGBTQ Announcement and Bill Signing,LGBTQ Announcement and Bill Signing,"208 W 13th Street, New York, NY",New York,New York,New York City,40.7380084,-74.0010489
11/16/2021,Tuesday,COVID-19 Briefing,Delavan Grider Community Center,"877 E Delevan Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.922484,-78.824586
11/16/2021,Tuesday,"One Hundred Black Men, Inc. 16th General Membership Meeting",,"3 E 95th Street, New York, NY",New York,New York,New York City,40.7870573,-73.955612
11/16/2021,Tuesday,12th Annual Child Mind Institute Child Advocacy Award Dinner,Cipriani,"110 E 42nd Street, New York, NY",New York,New York,New York City,40.7514708,-73.9772364
11/17/2021,Wednesday,1199SEIU “Together We Stand” March and Rally,1199SEIU Headquarters NYC,"498 7th Avenue, New York, NY",New York,New York,New York City,40.7527811,-73.9895448
11/18/2021,Thursday,Association for a Better New York Power Breakfast,New York Hilton Midtown,"1335 6th Avenue, New York, NY",New York,New York,New York City,40.762461,-73.979713
11/18/2021,Thursday,NY Building Congress Centennial Ball,Jacob K. Javits Convention Center,"429 11th Avenue, New York, NY",New York,New York,New York City,40.7583595,-74.0021206
11/19/2021,Friday,Belmont Park UBS Arena Ribbon Cutting,UBS Arena,"2150 Hempstead Turnpike, Elmont, NY",Nassau,Elmont,Long Island,40.714829,-73.7221469
11/20/2021,Saturday,Brooklyn Chapter of Jack and Jill of America Thanksgiving Event ,Cornerstone Baptist Church,"574 Madison Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.6863106,-73.9351121
11/20/2021,Saturday,Nourish New York Bill Signing,Hall of Science,"47-01 111th Street, Corona, NY",Queens,Queens,New York City,40.747377,-73.8516136
11/22/2021,Monday,Javits Turkey Packing Assembly ,Jacob K. Javits Convention Center,"429 11th Avenue, New York, NY",New York,New York,New York City,40.7583595,-74.0021206
11/22/2021,Monday,Gun Violence Announcement ,Gun Violence Announcement,"350 S 6th Avenue Mount Vernon, NY",Westchester,Mount Vernon,Mid-Hudson,40.9017922,-73.8356631
11/22/2021,Monday,Haverstraw & Ossining Downtown Revitalization Initiative Announcement,Joseph Caputo Community Center,"95 Broadway, Ossining, NY",Westchester,Ossining,Mid-Hudson,41.1636939,-73.8626368
11/23/2021,Tuesday,Kingston Turkey Distribution,Kingston Turkey Distribution,"35 Cedar Street #1, Kingston, NY",Ulster,Kingston,Mid-Hudson,41.9287068,-74.0054368
11/23/2021,Tuesday,Thanksgiving Turkey Distribution with Cardinal Dolan,Catholic Charities Kennedy Memorial Center,"34 West 134th Street, New York, NY",New York,New York,New York City,40.8126493,-73.9400429
11/23/2021,Tuesday,Harlem Turkey Distribution,Memorial Baptist Church,"141 W 115th Street, New York, NY",New York,New York,New York City,40.8024158,-73.952058
11/23/2021,Tuesday,Bronx Turkey Distribution,Co Op City,"120 De Kruif Place, Bronx, NY",Bronx,Bronx,New York City,40.8748315,-73.8293692
11/23/2021,Tuesday,Second Avenue Subway Event,,"113th Street and 2nd Avenue, New York, NY",New York,New York,New York City,40.73855,-73.980418
11/24/2021,Wednesday,Thanksgiving Celebration and Turkey Pardon,Executive Mansion ,"138 Eagle Street, Albany, NY",Albany,Albany,Capital Region,42.6467004,-73.7608686
11/27/2021,Saturday,Schenectady Small Business Stops ,Downtown Schenectady,"Schenectady, NY",Onondaga,Schenectady,Central New York,42.8142432,-73.9395687
11/29/2021,Monday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
11/29/2021,Monday,Jewish Community Relations Council of NY Menorah Candle Lighting,Times Square,"43rd Street, New York, NY",New York,New York,New York City,40.6958881,-73.3834466
12/2/2021,Thursday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
12/2/2021,Thursday,COVID-19 Press Conference,City Hall,"City Hall Park, New York, NY 10007",New York,New York,New York City,40.7524368,-73.4204648
12/3/2021,Friday,African American Clergy & Elected Officials Coalition Breakfast ,Antioch Baptist Church,"828 Greene Street, Brooklyn, NY",Kings,Brooklyn,New York City,40.734224,-73.949803
12/5/2021,Sunday,Empire State Plaza Tree Lighting,Empire State Plaza,"100 S Mall Arterial, Albany, NY 12242",Albany,Albany,Capital Region,42.6517957,-73.7619817
12/6/2021,Monday,Homeowners Assistance Fund Announcement,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
